iter	Passed	Remaining
399	40806	61209
400	40897	61091
401	40990	60975
402	41082	60859
403	41177	60746
404	41267	60627
405	41366	60521
406	41464	60414
407	41577	60327
408	41680	60228
409	41789	60136
410	41883	60022
411	41982	59916
412	42090	59822
413	42182	59706
414	42267	59581
415	42367	59476
416	42473	59381
417	42629	59355
418	42779	59320
419	42939	59297
420	43095	59269
421	43207	59180
422	43296	59059
423	43396	58953
424	43494	58845
425	43604	58753
426	43703	58646
427	43797	58532
428	43896	58426
429	44000	58326
430	44095	58213
431	44239	58166
432	44428	58178
433	44607	58175
434	44751	58125
435	44849	58015
436	44944	57903
437	45050	57804
438	45208	57772
439	45369	57743
440	45482	57652
441	45584	57548
442	45690	57448
443	45786	57336
444	45882	57223
445	45974	57107
446	46074	57001
447	46177	56897
448	46269	56781
449	46368	56672
450	46506	56611
451	46661	56572
452	46756	56459
453	46858	56353
454	46947	56233
455	47043	56121
456	47142	56013
457	47234	55897
458	47354	55814
459	47483	55741
460	47697	55767
461	47909	55790
462	48043	55722
463	48186	55663
464	48311	55584
465	48440	55509
466	48566	55429
467	48673	55329
468	48769	55216
469	48874	55113
470	48966	54996
471	49127	54956
472	49270	54895
473	49373	54789
474	49475	54683
475	49618	54622
476	49752	54550
477	49849	54438
478	49961	54342
479	50061	54232
480	50168	54131
481	50270	54024
482	50375	53921
483	50474	53811
484	50574	53703
485	50710	53632
486	50822	53535
487	50913	53417
488	51011	53306
489	51105	53191
490	51210	53088
491	51299	52967
492	51398	52857
493	51505	52756
494	51613	52655
495	51715	52549
496	51821	52447
497	51907	52324
498	52002	52210
499	52095	52095
500	52195	51987
501	52306	51890
502	52401	51776
503	52495	51661
504	52603	51561
505	52693	51444
506	52788	51330
507	52875	51210
508	52974	51101
509	53062	50981
510	53159	50871
511	53257	50761
512	53356	50652
513	53458	50545
514	53557	50437
515	53668	50340
516	53769	50233
517	53866	50123
518	53961	50010
519	54055	49896
520	54152	49786
521	54250	49677
522	54354	49573
523	54443	49455
524	54530	49336
525	54636	49235
526	54725	49118
527	54820	49006
528	54911	48890
529	55011	48783
530	55106	48672
531	55207	48566
532	55311	48462
533	55416	48359
534	55505	48242
535	55618	48146
536	55708	48031
537	55820	47935
538	55914	47822
539	56009	47711
540	56102	47598
541	56208	47497
542	56299	47382
543	56387	47266
544	56479	47152
545	56581	47047
546	56683	46942
547	56772	46827
548	56869	46717
549	56969	46611
550	57073	46508
551	57161	46391
552	57259	46283
553	57363	46180
554	57461	46072
555	57553	45959
556	57663	45861
557	57760	45752
558	57847	45636
559	57939	45523
560	58035	45414
561	58129	45303
562	58229	45197
563	58334	45095
564	58432	44987
565	58528	44878
566	58632	44775
567	58733	44670
568	58846	44574
569	58940	44463
570	59041	44358
571	59133	44247
572	59230	44138
573	59326	44029
574	59433	43928
575	59532	43822
576	59635	43718
577	59724	43604
578	59823	43498
579	59925	43394
580	60032	43293
581	60129	43185
582	60234	43083
583	60356	42993
584	60471	42898
585	60593	42808
586	60691	42701
587	60791	42595
588	60887	42486
589	60994	42385
590	61089	42276
591	61199	42177
592	61297	42071
593	61386	41957
594	61478	41846
595	61590	41749
596	61694	41646
597	61801	41545
598	61895	41435
599	61998	41332
600	62091	41222
601	62181	41109
602	62303	41019
603	62401	40912
604	62497	40803
605	62617	40711
606	62708	40600
607	62798	40488
608	62894	40380
609	62999	40278
610	63107	40178
611	63201	40068
612	63295	39959
613	63398	39856
614	63500	39752
615	63611	39653
616	63711	39548
617	63799	39435
618	63895	39328
619	63992	39221
620	64089	39114
621	64184	39005
622	64275	38895
623	64374	38789
624	64467	38680
625	64564	38573
626	64674	38474
627	64778	38372
628	64876	38265
629	64980	38163
630	65091	38064
631	65208	37969
632	65328	37876
633	65436	37775
634	65521	37661
635	65625	37559
636	65713	37447
637	65809	37340
638	65905	37233
639	66006	37128
640	66107	37024
641	66213	36923
642	66308	36815
643	66402	36707
644	66496	36598
645	66610	36501
646	66694	36388
647	66792	36282
648	66883	36172
649	66990	36071
650	67085	35964
651	67182	35857
652	67270	35747
653	67365	35639
654	67463	35534
655	67566	35430
656	67678	35332
657	67770	35224
658	67859	35114
659	67950	35004
660	68040	34895
661	68140	34790
662	68238	34685
663	68331	34577
664	68434	34474
665	68536	34371
666	68633	34265
667	68727	34157
668	68814	34047
669	68903	33937
670	69000	33832
671	69106	33730
672	69216	33631
673	69319	33528
674	69418	33423
675	69513	33317
676	69617	33214
677	69711	33107
678	69802	32999
679	69898	32893
680	69998	32789
681	70084	32678
682	70188	32576
683	70289	32472
684	70392	32370
685	70479	32260
686	70586	32159
687	70683	32054
688	70788	31952
689	70876	31842
690	70971	31736
691	71066	31630
692	71176	31531
693	71272	31425
694	71366	31319
695	71466	31215
696	71569	31112
697	71660	31005
698	71761	30901
699	71853	30794
700	71952	30690
701	72042	30582
702	72138	30476
703	72239	30373
704	72343	30271
705	72442	30167
706	72532	30059
707	72635	29957
708	72737	29854
709	72836	29749
710	72928	29643
711	73025	29538
712	73119	29432
713	73207	29323
714	73300	29217
715	73398	29113
716	73494	29008
717	73606	28909
718	73696	28802
719	73802	28701
720	73894	28594
721	73987	28488
722	74080	28381
723	74173	28276
724	74266	28170
725	74364	28065
726	74459	27960
727	74572	27862
728	74662	27755
729	74746	27645
730	74837	27539
731	74942	27438
732	75037	27332
733	75139	27230
734	75236	27126
735	75345	27026
736	75439	26920
737	75539	26817
738	75639	26714
739	75738	26610
740	75837	26507
741	75926	26400
742	76007	26290
743	76099	26184
744	76188	26077
745	76286	25974
746	76385	25870
747	76480	25766
748	76586	25665
749	76681	25560
750	76775	25455
751	76888	25356
752	76979	25250
753	77082	25149
754	77173	25042
755	77272	24939
756	77377	24838
757	77474	24734
758	77593	24637
759	77713	24541
760	77861	24453
761	77966	24351
762	78070	24250
763	78165	24145
764	78258	24040
765	78350	23934
766	78455	23833
767	78570	23734
768	78666	23630
769	78755	23524
770	78851	23420
771	78940	23314
772	79037	23210
773	79136	23107
774	79231	23002
775	79323	22897
776	79432	22797
777	79532	22694
778	79640	22593
779	79775	22500
780	79890	22402
781	79987	22298
782	80084	22194
783	80180	22090
784	80285	21989
785	80393	21888
786	80488	21784
787	80592	21682
788	80685	21577
789	80782	21473
790	80888	21372
791	80988	21269
792	81083	21165
793	81170	21059
794	81269	20956
795	81361	20851
796	81460	20748
797	81567	20647
798	81665	20544
799	81763	20440
800	81858	20336
801	81948	20231
802	82038	20126
803	82138	20023
804	82235	19920
805	82324	19815
806	82417	19710
807	82504	19605
808	82613	19504
809	82702	19399
810	82787	19293
811	82879	19188
812	82980	19086
813	83081	18984
814	83180	18881
815	83280	18778
816	83375	18675
817	83463	18570
818	83586	18472
819	83687	18370
820	83777	18265
821	83878	18163
822	83977	18060
823	84061	17954
824	84161	17852
825	84260	17749
826	84358	17646
827	84456	17544
828	84576	17445
829	84670	17342
830	84757	17236
831	84851	17133
832	84957	17032
833	85048	16928
834	85131	16822
835	85229	16719
836	85316	16614
837	85406	16510
838	85508	16408
839	85602	16305
840	85697	16202
841	85787	16097
842	85884	15995
843	85982	15892
844	86081	15790
845	86183	15688
846	86276	15584
847	86368	15481
848	86466	15378
849	86574	15277
850	86673	15175
851	86771	15073
852	86869	14970
853	86972	14868
854	87070	14766
855	87164	14663
856	87264	14561
857	87360	14458
858	87459	14356
859	87568	14255
860	87672	14153
861	87763	14050
862	87855	13946
863	87957	13845
864	88058	13743
865	88165	13642
866	88259	13539
867	88346	13435
868	88447	13333
869	88559	13233
870	88654	13130
871	88740	13026
872	88837	12923
873	88942	12822
874	89035	12719
875	89130	12616
876	89227	12514
877	89319	12411
878	89413	12308
879	89506	12205
880	89611	12104
881	89706	12001
882	89800	11898
883	89893	11796
884	90005	11695
885	90104	11593
886	90198	11490
887	90289	11387
888	90383	11285
889	90478	11182
890	90587	11081
891	90693	10980
892	90790	10878
893	90889	10776
894	90983	10674
895	91084	10572
896	91184	10470
897	91272	10367
898	91363	10264
899	91451	10161
900	91560	10060
901	91659	9958
902	91760	9856
903	91857	9754
904	91958	9653
905	92041	9549
906	92140	9447
907	92247	9346
908	92351	9245
909	92441	9142
910	92550	9041
911	92658	8940
912	92748	8837
913	92849	8736
914	92945	8634
915	93046	8532
916	93136	8429
917	93232	8328
918	93320	8225
919	93420	8123
920	93513	8021
921	93614	7919
922	93720	7818
923	93824	7717
924	93919	7615
925	94020	7513
926	94114	7411
927	94214	7309
928	94308	7207
929	94400	7105
930	94493	7003
931	94596	6901
932	94689	6799
933	94777	6697
934	94874	6595
935	94968	6493
936	95060	6391
937	95149	6289
938	95258	6188
939	95352	6086
940	95443	5984
941	95549	5883
942	95653	5781
943	95751	5680
944	95840	5577
945	95942	5476
946	96028	5374
947	96123	5272
948	96215	5170
949	96307	5068
950	96398	4966
951	96497	4865
952	96599	4764
953	96688	4662
954	96790	4560
955	96891	4459
956	96992	4358
957	97087	4256
958	97182	4154
959	97277	4053
960	97376	3951
961	97478	3850
962	97595	3749
963	97695	3648
964	97791	3546
965	97879	3445
966	97975	3343
967	98065	3241
968	98162	3140
969	98249	3038
970	98347	2937
