iter	Logloss
0	0.3788442169
1	0.2511582074
2	0.2004877748
3	0.1780054981
4	0.1656217513
5	0.1573827643
6	0.1541876765
7	0.1512996584
8	0.149678405
9	0.1485860953
10	0.1466602296
11	0.144932204
12	0.144302146
13	0.1438389878
14	0.1432784272
15	0.1428983709
16	0.1426279426
17	0.1423357804
18	0.1416935386
19	0.1411169858
20	0.1408988653
21	0.1406208355
22	0.1404038039
23	0.1400542558
24	0.1398447317
25	0.1396639812
26	0.139052688
27	0.1388728641
28	0.1387598658
29	0.1383737871
30	0.1381669699
31	0.1380178829
32	0.1379109727
33	0.1378425058
34	0.1377001754
35	0.1375059369
36	0.1374288527
37	0.1372903131
38	0.1371653877
39	0.1370931645
40	0.1369481149
41	0.1368435399
42	0.1367232356
43	0.1365422009
44	0.1364063429
45	0.1363221658
46	0.1362792612
47	0.1362080432
48	0.1360903327
49	0.1360208169
50	0.1359775135
51	0.1357759999
52	0.1356854145
53	0.1356382882
54	0.1355706903
55	0.1354865194
56	0.1354363842
57	0.1353581289
58	0.1352623404
59	0.1350112547
60	0.1349211628
61	0.1348152065
62	0.134738235
63	0.1346792275
64	0.134620255
65	0.1345606363
66	0.1345245562
67	0.1344853687
68	0.1343906331
69	0.1343653204
70	0.1342925861
71	0.1342594098
72	0.1342274601
73	0.1341976976
74	0.1340960513
75	0.1339764878
76	0.1338449285
77	0.1337918712
78	0.1336880625
79	0.1336587503
80	0.1336020683
81	0.133529771
82	0.1335003693
83	0.1334113921
84	0.133275509
85	0.1332299929
86	0.1331355094
87	0.1330907174
88	0.1330577962
89	0.1329648331
90	0.1329396398
91	0.1328864428
92	0.1328496062
93	0.1328085329
94	0.1327444281
95	0.1326921961
96	0.1326474519
97	0.1326104246
98	0.1325812052
99	0.1325508233
100	0.1325383514
101	0.1325179467
102	0.1324597533
103	0.1324448803
104	0.1323915457
105	0.1323503781
106	0.1322931679
107	0.1322549449
108	0.1322092685
109	0.1321404405
110	0.1321107981
111	0.1320727929
112	0.1320404192
113	0.1320040705
114	0.1319870975
115	0.1319604503
116	0.1319002365
117	0.1318672718
118	0.1318480971
119	0.1318078367
120	0.1317812595
121	0.131730926
122	0.1316796643
123	0.131666871
124	0.1316430286
125	0.1316152482
126	0.1315918088
127	0.1314881748
128	0.1314649307
129	0.1314322825
130	0.1314049417
131	0.1313801774
132	0.1313612961
133	0.131347045
134	0.1313214041
135	0.1312627986
136	0.1312486846
137	0.1312154467
138	0.1311940333
139	0.1311821388
140	0.1311576445
141	0.1311361179
142	0.1311029541
143	0.1310798181
144	0.1310480332
145	0.1310211366
146	0.1309487825
147	0.1309339917
148	0.1309168255
149	0.1308953674
150	0.1308775762
151	0.1308553099
152	0.1308399447
153	0.1308158237
154	0.1307955123
155	0.130769978
156	0.1307574434
157	0.1307228455
158	0.1306885307
159	0.1306785634
160	0.130665019
161	0.1306494378
162	0.130628351
163	0.1306122739
164	0.1305923992
165	0.1305495907
166	0.1305362321
167	0.1305214185
168	0.1304808997
169	0.1304092345
170	0.1303758025
171	0.1303668133
172	0.1303329173
173	0.1303212633
174	0.1302688443
175	0.1302304211
176	0.1302135675
177	0.1301972714
178	0.1301717073
179	0.130160386
180	0.1301333832
181	0.1301076911
182	0.13005827
183	0.1300293488
184	0.1300022455
185	0.1299309277
186	0.1299191143
187	0.1298862862
188	0.129865231
189	0.1298514206
190	0.1298438697
191	0.129803213
192	0.129794564
193	0.1297833231
194	0.1297473493
195	0.1297333438
196	0.1297123061
197	0.1296995621
198	0.1296891976
199	0.1296601379
200	0.1296538017
201	0.1296484198
202	0.1296102655
203	0.1295910928
204	0.1295789217
205	0.1295609995
206	0.1295366763
207	0.1295305924
208	0.1295172603
209	0.1294904192
210	0.1294758915
211	0.1294621056
212	0.1294472079
213	0.1294328688
214	0.1294150299
215	0.1293890103
216	0.1293765829
217	0.1293283338
218	0.1293202587
219	0.1293089606
220	0.1292978896
221	0.1292873755
222	0.1292764336
223	0.1292597977
224	0.1292474672
225	0.1292312876
226	0.1292183666
227	0.1292018933
228	0.1291737805
229	0.1291619182
230	0.1291520212
231	0.1291288851
232	0.1291219679
233	0.1291021712
234	0.1290866361
235	0.1290629137
236	0.1290523834
237	0.1290299451
238	0.129013785
239	0.1289961482
240	0.128970818
241	0.1289544068
242	0.1289419906
243	0.1289281735
244	0.1289173469
245	0.1288811427
246	0.1288684289
247	0.1288529924
248	0.1288395526
249	0.1288261793
250	0.1288083745
251	0.1287976594
252	0.128765614
253	0.1287545823
254	0.1287427148
255	0.1287210718
256	0.1287080843
257	0.1286997879
258	0.128682167
259	0.1286615504
260	0.1286514756
261	0.128619985
262	0.1286100221
263	0.1286029235
264	0.1285887856
265	0.1285714891
266	0.1285400083
267	0.1285283351
268	0.1285189185
269	0.1284863942
270	0.1284771376
271	0.128454424
272	0.1284414604
273	0.1284359357
274	0.1284183418
275	0.1284035944
276	0.1283798348
277	0.128367762
278	0.1283462654
279	0.1283215275
280	0.1283012243
281	0.1282918914
282	0.1282849534
283	0.1282686899
284	0.1282600225
285	0.1282544348
286	0.1282465723
287	0.1282377864
288	0.1282217077
289	0.1282050179
290	0.1281937535
291	0.1281872822
292	0.128175187
293	0.1281592107
294	0.1281485407
295	0.1281350569
296	0.1281276428
297	0.1281141349
298	0.1281078699
299	0.1280913673
300	0.1280843494
301	0.1280715647
302	0.1280645136
303	0.1280549233
304	0.1280445445
305	0.1280364542
306	0.1280279031
307	0.1280136953
308	0.1280048433
309	0.1279979319
310	0.1279901974
311	0.1279657454
312	0.1279569035
313	0.1279487574
314	0.1279430573
315	0.1279327501
316	0.1279192163
317	0.127903653
318	0.1278854758
319	0.1278772744
320	0.1278667518
321	0.1278576974
322	0.1278516974
323	0.1278391654
324	0.1278343197
325	0.1278226405
326	0.1278146419
327	0.1277998084
328	0.1277928922
329	0.1277868852
330	0.1277787467
331	0.1277703349
332	0.1277445605
333	0.1277325959
334	0.1277289969
335	0.1277197913
336	0.1277106767
337	0.1277020943
338	0.1276840575
339	0.1276773055
340	0.1276669174
341	0.1276572674
342	0.1276424291
343	0.1276335239
344	0.1276261175
345	0.1276141038
346	0.1275915633
347	0.1275814054
348	0.1275740552
349	0.1275642691
350	0.1275565634
351	0.1275478449
352	0.1275373417
353	0.1275282066
354	0.1275195693
355	0.1275039794
356	0.1274954254
357	0.1274872647
358	0.1274788373
359	0.127464213
360	0.1274529705
361	0.1274441461
362	0.1274376287
363	0.1274308593
364	0.1274253787
365	0.1274118637
366	0.1273965601
367	0.1273737515
368	0.1273592665
369	0.1273517953
370	0.1273399176
371	0.1273305569
372	0.1273129188
373	0.1273018394
374	0.1272942047
375	0.1272762911
376	0.1272708368
377	0.1272563843
378	0.1272504334
379	0.1272328908
380	0.1272184932
381	0.1272086369
382	0.1271971811
383	0.12719154
384	0.1271816296
385	0.1271730627
386	0.1271625793
387	0.1271507728
388	0.1271391623
389	0.127132194
390	0.127127671
391	0.1271171834
392	0.1271126314
393	0.1271062884
394	0.1270978157
395	0.1270838368
396	0.1270730868
397	0.1270624575
398	0.1270589308
399	0.1270486441
400	0.1270385543
401	0.1270197821
402	0.1270067499
403	0.1270004924
404	0.1269929018
405	0.1269854775
406	0.1269679337
407	0.1269621059
408	0.1269544685
409	0.1269361369
410	0.1269252282
411	0.1269201506
412	0.1269125759
413	0.1269071631
414	0.1269025498
415	0.1268902201
416	0.1268838196
417	0.1268617151
418	0.1268544981
419	0.1268443877
